Branch Path,Variable,Scenario,Region,Units,expected_unit,unit_check_status,notes
Demand\Passenger road\Age 23,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 23,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 24,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 24,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 25,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 25,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 26,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 26,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 27,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 27,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 28,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 28,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 29,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 29,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 3,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 3,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 30,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 30,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 4,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 4,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 5,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 5,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 6,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 6,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 7,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 7,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 8,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 8,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 9,Survival Rate,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Age 9,Vintage Profile Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Buses,Mileage,Reference,Papua New Guinea,Kilometer,Kilometer,pass,
Demand\Passenger road\Buses,Vehicle Equivalent Weight,Reference,Papua New Guinea,Vehicle equivalent,Vehicle equivalent,pass,
Demand\Passenger road\Buses\BEV,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Buses\BEV,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\Buses\BEV\Electricity,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Buses\FCEV,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Buses\FCEV,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\Buses\FCEV\Hydrogen,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Buses\ICE,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Buses\ICE,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\Buses\ICE\Gas and diesel oil,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Buses\ICE\LPG,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Buses\ICE\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Buses\ICE\Natural gas,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Buses\PHEV,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\Buses\PHEV,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\Buses\PHEV,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\BEV large,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\BEV large,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\BEV large\Electricity,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\BEV medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\BEV medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\BEV medium\Electricity,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\FCEV large,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\FCEV large,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\FCEV large\Hydrogen,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\FCEV medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\FCEV medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\FCEV medium\Hydrogen,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\HEV large,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\HEV large,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\HEV large\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\HEV medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\HEV medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\HEV medium\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\ICE large,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\ICE large,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\ICE large\Gas and diesel oil,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\ICE large\LPG,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\ICE large\Motor gasoline,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\ICE large\Natural gas,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
Demand\Passenger road\LPVs\ICE medium,Sales Share,Reference,Papua New Guinea,Share,Share,pass,
Demand\Passenger road\LPVs\ICE medium,Stock,Reference,Papua New Guinea,Device,Device,pass,
Demand\Passenger road\LPVs\ICE medium\Gas and diesel oil,Fuel Economy,Reference,Papua New Guinea,MJ/100 km,MJ/100 km,pass,
